task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
112	d6/f8ac15	212350	calling_pipeline:medakaInference_consensus (77)	COMPLETED	0	2026-06-04 12:06:08.252	5.6s	2.8s	103.4%	377 MB	1.1 GB	38.9 MB	1.7 MB
108	9e/af338f	211220	calling_pipeline:medakaInference_consensus (73)	COMPLETED	0	2026-06-04 12:06:06.774	7.2s	3.5s	109.2%	458.6 MB	1.2 GB	38.9 MB	2 MB
120	0b/67b62e	213026	calling_pipeline:medakaInference_consensus (85)	COMPLETED	0	2026-06-04 12:06:09.023	5s	3s	99.6%	364.3 MB	1.1 GB	38.9 MB	1.7 MB
117	b2/b64eaa	212855	calling_pipeline:medakaInference_consensus (82)	COMPLETED	0	2026-06-04 12:06:08.776	5.3s	3.7s	109.9%	456.4 MB	1.2 GB	38.9 MB	2 MB
116	f5/6c81cc	212971	calling_pipeline:medakaInference_consensus (81)	COMPLETED	0	2026-06-04 12:06:08.914	5.3s	3s	100.2%	376.1 MB	1.1 GB	38.8 MB	1.8 MB
110	fa/e5db09	211821	calling_pipeline:medakaInference_consensus (75)	COMPLETED	0	2026-06-04 12:06:07.423	6.9s	3.6s	107.7%	458.7 MB	1.2 GB	38.9 MB	2 MB
113	cc/e60364	212640	calling_pipeline:medakaInference_consensus (78)	COMPLETED	0	2026-06-04 12:06:08.492	5.9s	3.5s	101.1%	399.5 MB	1.1 GB	38.9 MB	1.8 MB
114	47/c8e33f	212693	calling_pipeline:medakaInference_consensus (79)	COMPLETED	0	2026-06-04 12:06:08.554	6s	3.9s	106.9%	497.2 MB	1.2 GB	39.1 MB	2.2 MB
123	d9/254e0d	216926	calling_pipeline:medakaInference_consensus (88)	COMPLETED	0	2026-06-04 12:06:13.515	4.3s	2.5s	100.6%	352.9 MB	1.1 GB	38.8 MB	1.6 MB
125	e4/e7ff57	217010	calling_pipeline:medakaInference_consensus (90)	COMPLETED	0	2026-06-04 12:06:13.658	4.4s	2.6s	101.5%	374.4 MB	1.1 GB	38.9 MB	1.7 MB
124	4a/bc9406	217105	calling_pipeline:medakaInference_consensus (89)	COMPLETED	0	2026-06-04 12:06:13.794	4.8s	2.7s	102.2%	363.3 MB	1.1 GB	38.9 MB	1.7 MB
122	05/74e29b	216565	calling_pipeline:medakaInference_consensus (87)	COMPLETED	0	2026-06-04 12:06:12.836	6.2s	2.8s	101.7%	368.9 MB	1.1 GB	38.9 MB	1.7 MB
130	df/554fb5	217381	calling_pipeline:medakaInference_consensus (95)	COMPLETED	0	2026-06-04 12:06:14.125	5s	2.5s	98.7%	356.8 MB	1.1 GB	38.9 MB	1.6 MB
119	4c/13f46c	216264	calling_pipeline:medakaInference_consensus (84)	COMPLETED	0	2026-06-04 12:06:12.560	6.7s	3s	102.8%	365.2 MB	1.1 GB	38.9 MB	1.7 MB
35	73/dbd069	182706	calling_pipeline:runDnaapler (2)	COMPLETED	0	2026-06-04 12:05:34.833	44.6s	40s	249.7%	1 GB	6.4 GB	87.7 MB	126.9 MB
121	10/aa76ca	216720	calling_pipeline:medakaInference_consensus (86)	COMPLETED	0	2026-06-04 12:06:13.137	6.4s	3.1s	102.7%	401.4 MB	1.1 GB	38.9 MB	1.8 MB
126	f1/11c81e	217138	calling_pipeline:medakaInference_consensus (91)	COMPLETED	0	2026-06-04 12:06:13.812	5.8s	2.8s	101.1%	354.6 MB	1.1 GB	38.8 MB	1.7 MB
132	85/d6e169	217725	calling_pipeline:medakaInference_consensus (97)	COMPLETED	0	2026-06-04 12:06:14.538	5.3s	3s	98.3%	329.8 MB	1.1 GB	38.8 MB	1.7 MB
